"Descrição","Qtd Saídas","Vlr Saídas","RS Atual"
"AMENDOIM ACUCARADO ARTE PAO KG","7,190","287,00","39,90"
"BAGUETE FRANCESA ARTE PAO KG","93,918","2.338,34","24,90"
"BAURU  FRANGO ARTE PAO KG","19,874","852,62","42,90"
"BAURU PRESUNTO ARTE PAO KG","22,850","980,24","42,90"
"BISCOITO CASEIRO COCO ARTE PAO KG","6,183","184,78","29,90"
"BISCOITO CASEIRO LIMAO ARTE PAO KG","1,842","55,04","29,90"
"BISCOITO OLHO DE BOI ARTE PAO KG","0,000","0,00","29,90"
"BISCOITO PETIT FOUR ARTE PAO GEZ KG","3,670","120,75","32,90"
"BISNAGUINHA ARTE PAO KG","12,731","444,40","34,90"
"BOLO ABACAXI ARTE PAO KG","6,730","234,87","34,90"
"BOLO AIPIM ARTE PAO KG","9,986","349,51","34,99"
"BOLO AMENDOIM ARTE PAO KG","0,000","0,00","34,90"
"BOLO BANANA ARTE PAO KG","7,944","277,24","34,90"
"BOLO BANANA C/CALDA  ARTE PAO KG","6,998","244,22","34,90"
"BOLO BROA MINEIRA ARTE PAO KG","0,000","0,00","24,99"
"BOLO CENOURA  ARTE PAO KG","4,198","104,95","24,99"
"BOLO CENOURA COM CHOCOLATE ARTE","32,315","1.063,18","32,90"
"BOLO CHOCOLATE ARTE PAO KG","0,000","0,00","24,99"
"BOLO CHOCOLATE C/BOMBOM ARTE PAO","0,000","0,00","32,90"
"BOLO CHOCOLATE C/COBERTURA  ARTE","26,674","877,60","32,90"
"BOLO CHOCOLATE C/COCO ARTE PAO KG","0,000","0,00","24,99"
"BOLO CHOCOLATE C/LEITE CONDENSADO","0,000","0,00","24,99"
"BOLO CHOCOLATE C/LEITINHO ARTE PAO","0,000","0,00","32,90"
"BOLO CHOCOLATE RECHEADO ARTE PAO","0,000","0,00","32,90"
"BOLO CHOCOLATE/PUDIM  ARTE PAO KG","0,000","0,00","39,90"
"BOLO CONF MASSA BRANCA C/AMENDOIM","0,000","0,00","54,99"
"BOLO CONF MASSA BRANCA C/BEIJINHO","0,000","0,00","54,99"
"BOLO CONF MASSA BRANCA C/BOMBOM","2,950","162,22","54,99"
"BOLO CONF MASSA BRANCA C/BRIGADEIRO","0,000","0,00","54,99"
"BOLO CONF MASSA BRANCA C/CHOC E","0,784","43,11","54,99"
"BOLO CONF MASSA BRANCA C/CHOCOLATE","1,538","84,57","54,99"
"BOLO CONF MASSA BRANCA C/LEITINHO","8,194","450,58","54,99"
"BOLO CONF MASSA BRANCA C/LIMAO ARTE","0,744","40,91","54,99"
"BOLO CONF MASSA BRANCA C/MARACUJA","1,324","72,81","54,99"
"BOLO CONF MASSA BRANCA C/MORANGO","0,000","0,00","54,99"
"BOLO CONF MASSA CHOC C/AMENDOIM","0,000","0,00","54,99"
"BOLO CONF MASSA CHOC C/BOMBOM ARTE","2,536","139,45","54,99"
"BOLO CONF MASSA CHOC C/BRIGADEIRO","0,000","0,00","54,99"
"BOLO CONF MASSA CHOC C/CHOCOLATE","0,000","0,00","54,99"
"BOLO CONF MASSA CHOC C/CHOCOLATE E","0,000","0,00","54,99"
"BOLO CONF MASSA CHOC C/LEITINHO ARTE","1,978","108,77","54,99"
"BOLO CONF MASSA CHOC C/LIMAO ARTE","0,000","0,00","54,99"
"BOLO CONF MASSA CHOC C/MORANGO","3,960","217,75","54,99"
"BOLO CONF MASSA CHOC PRESTIGIO ARTE","0,000","0,00","54,99"
"BOLO DE FUBA ARTE PAO KG","5,916","142,47","24,99"
"BOLO DE IOGURTE ARTE PAO KG","0,000","0,00","24,99"
"BOLO DE MILHO ESPIGA ARTE PAO KG","8,686","304,01","34,99"
"BOLO FURO ABACAXI ARTE PAO KG","0,000","0,00","24,99"
"BOLO FURO AIPIM ARTE PAO KG","0,000","0,00","24,99"
"BOLO FURO BANANA ARTE PAO KG","0,000","0,00","24,99"
"BOLO FURO BAUNILHA ARTE PAO KG","0,000","0,00","24,99"
