"Descrição","Qtd Saídas","Vlr Saídas","RS Atual"
"AMENDOIM ACUCARADO ARTE PAO KG","7,219","288,03","39,90"
"BAGUETE FRANCESA ARTE PAO KG","107,541","2.677,37","24,90"
"BAURU  FRANGO ARTE PAO KG","27,474","1.178,69","42,90"
"BAURU PRESUNTO ARTE PAO KG","32,208","1.381,76","42,90"
"BISCOITO CASEIRO COCO ARTE PAO KG","5,539","165,63","29,90"
"BISCOITO CASEIRO LIMAO ARTE PAO KG","0,000","0,00","29,90"
"BISCOITO OLHO DE BOI ARTE PAO KG","0,000","0,00","29,90"
"BISCOITO PETIT FOUR ARTE PAO GEZ KG","2,182","71,81","32,90"
"BISNAGUINHA ARTE PAO KG","19,232","671,33","34,90"
"BOLO ABACAXI ARTE PAO KG","4,410","153,90","34,90"
"BOLO AIPIM ARTE PAO KG","21,636","757,26","34,99"
"BOLO AMENDOIM ARTE PAO KG","0,000","0,00","34,90"
"BOLO ARTE PAO  FRUTAS VERMELHAS KG","1,610","64,24","39,90"
"BOLO BANANA ARTE PAO KG","10,278","358,68","34,90"
"BOLO BANANA C/CALDA  ARTE PAO KG","10,598","369,83","34,90"
"BOLO BROA MINEIRA ARTE PAO KG","0,000","0,00","24,99"
"BOLO CENOURA  ARTE PAO KG","0,000","0,00","24,99"
"BOLO CENOURA COM CHOCOLATE ARTE","38,811","1.276,90","32,90"
"BOLO CHOCOLATE ARTE PAO KG","0,376","9,40","24,99"
"BOLO CHOCOLATE C/BOMBOM ARTE PAO","1,630","53,62","32,90"
"BOLO CHOCOLATE C/COBERTURA  ARTE","46,766","1.538,65","32,90"
"BOLO CHOCOLATE C/COCO ARTE PAO KG","0,000","0,00","24,99"
"BOLO CHOCOLATE C/LEITE CONDENSADO","0,000","0,00","24,99"
"BOLO CHOCOLATE C/LEITINHO ARTE PAO","0,000","0,00","32,90"
"BOLO CHOCOLATE RECHEADO ARTE PAO","0,000","0,00","32,90"
"BOLO CHOCOLATE/PUDIM  ARTE PAO KG","0,000","0,00","39,90"
"BOLO CONF MASSA BRANCA C/AMENDOIM","0,000","0,00","54,99"
"BOLO CONF MASSA BRANCA C/BEIJINHO","2,338","128,56","54,99"
"BOLO CONF MASSA BRANCA C/BOMBOM","0,882","48,50","54,99"
"BOLO CONF MASSA BRANCA C/BRIGADEIRO","0,000","0,00","54,99"
"BOLO CONF MASSA BRANCA C/CHOC E","0,000","0,00","54,99"
"BOLO CONF MASSA BRANCA C/CHOCOLATE","1,456","80,06","54,99"
"BOLO CONF MASSA BRANCA C/LEITINHO","0,748","41,13","54,99"
"BOLO CONF MASSA BRANCA C/LIMAO ARTE","12,204","671,05","54,99"
"BOLO CONF MASSA BRANCA C/MARACUJA","0,000","0,00","54,99"
"BOLO CONF MASSA BRANCA C/MORANGO","3,942","216,76","54,99"
"BOLO CONF MASSA CHOC C/AMENDOIM","0,000","0,00","54,99"
"BOLO CONF MASSA CHOC C/BOMBOM ARTE","5,336","293,41","54,99"
"BOLO CONF MASSA CHOC C/BRIGADEIRO","0,000","0,00","54,99"
"BOLO CONF MASSA CHOC C/CHOCOLATE","0,792","43,55","54,99"
"BOLO CONF MASSA CHOC C/CHOCOLATE E","1,474","81,05","54,99"
"BOLO CONF MASSA CHOC C/LEITINHO ARTE","1,982","108,98","54,99"
"BOLO CONF MASSA CHOC C/LIMAO ARTE","0,000","0,00","54,99"
"BOLO CONF MASSA CHOC C/MORANGO","4,836","265,92","54,99"
"BOLO CONF MASSA CHOC PRESTIGIO ARTE","0,000","0,00","54,99"
"BOLO DE FUBA ARTE PAO KG","3,460","82,20","24,99"
"BOLO DE IOGURTE ARTE PAO KG","0,000","0,00","24,99"
"BOLO DE MILHO ESPIGA ARTE PAO KG","16,594","580,79","34,99"
"BOLO FURO ABACAXI ARTE PAO KG","0,000","0,00","24,99"
"BOLO FURO AIPIM ARTE PAO KG","0,000","0,00","24,99"
"BOLO FURO BANANA ARTE PAO KG","0,000","0,00","24,99"
"BOLO FURO BAUNILHA ARTE PAO KG","0,000","0,00","24,99"
"BOLO FURO BROA DE FUBA ARTE PAO KG","11,658","282,27","24,99"
"BOLO FURO CACAROLA ARTE PAO KG","157,464","3.651,77","24,99"
"BOLO FURO CENOURA ARTE PAO KG","5,280","118,93","24,99"
"BOLO FURO CHOCOLATE ARTE PAO KG","40,092","932,15","24,99"
"BOLO FURO COCO ARTE PAO KG","8,338","183,62","24,99"
"BOLO FURO FORMIGUEIRO ARTE PAO KG","13,524","285,18","24,99"
"BOLO FURO LARANJA ARTE PAO KG","27,380","648,90","24,99"
"BOLO FURO LEITE CONDENSADO ARTE PAO","0,000","0,00","24,99"
"BOLO FURO LIMAO ARTE PAO KG","0,000","0,00","24,99"
"BOLO FURO MESCLADO ARTE PAO KG","0,416","10,40","24,99"
"BOLO FURO MILHO ARTE PAO KG","0,000","0,00","24,99"
"BOLO FURO NEUTRO ARTE PAO KG","0,000","0,00","24,99"
"BOLO INDIANO ARTE PAO KG","0,332","13,28","39,99"
"BOLO INDIANO RECHEADO ARTE PAO KG","0,518","20,72","39,99"
"BOLO LIMAO C/MOUSSE ARTE PAO KG","11,532","461,11","39,99"
"BOLO NEGA MALUCA  ARTE PAO KG","2,259","112,70","49,90"
"BOLO NOZES ARTE PAO KG","0,000","0,00","54,99"
"BOLO PE DE MOLEQUE ARTE PAO KG","0,000","0,00","39,90"
"BOLO SALGADA DE ATUM ARTE PAO KG","0,000","0,00","34,90"
"BOLO SALGADO DE FRANGO ARTE PAO KG","32,138","1.103,52","34,90"
"BOLO SALGADO DE SALSICHA ARTE PAO KG","0,000","0,00","34,90"
"BREVIDADE ARTE PAO KG","5,678","198,73","34,99"
"BROA CAXAMBU ARTE PAO KG","4,634","124,68","26,90"
"BRONHA ARTE PAO KG","0,000","0,00","34,99"
"CAKE MULTI CEREAIS ARTE PAO KG","1,426","71,15","49,90"
"CAKE RED VELVET ARTE PAO KG","2,816","140,51","49,90"
"COOKIES  CHOCOLATE ARTE PAO KG","1,816","54,48","29,99"
"COOKIES  TADICIONAL ARTE PAO KG","6,498","194,93","29,99"
"CROISSANT CALABRESA ARTE PAO KG","0,000","0,00","49,99"
"CROISSANT CHOCOLATE ARTE PAO KG","0,000","0,00","49,99"
"CROISSANT FRANGO E REQUEIJAO ARTE","0,000","0,00","49,99"
"CROISSANT PRESUNTO E  QUEIJO ARTE","0,000","0,00","49,99"
"CROISSANT QUEIJO ARTE PAO KG","0,000","0,00","49,99"
"CROISSANT RICOTA ARTE PAO KG","0,000","0,00","49,99"
"CUSCUZ ARTE PAO KG","1,326","43,64","32,90"
"DONUTS ARTE PAO KG","1,602","47,88","29,90"
"DONUTS BEIJINHO ARTE PAO KG","0,000","0,00","29,90"
"EMPADA  FRANGO C/REQUEIJAO ARTE PAO","55,522","2.553,21","45,99"
"EMPADAO  FRANGO C/REQUEIJAO ARTE","4,318","198,61","45,99"
"ESFIRRA DE CARNE ARTE PAO KG","4,480","192,20","42,90"
"FARINHA DE ROSCA ARTE PAO KG","42,358","842,62","19,90"
"FOCACIA ARTE PAO KG","0,000","0,00","42,99"
"GOIABINHA ARTE PAO KG","2,182","71,79","32,90"
